userName,score,at,content
Pengguna Google,4,2025-04-21 16:20:06,"tolong banget dongg gimana cara hapus data pribadi di akun shopee yg udah lama kehapus ya ? kenapa setelah hapus akun shopee lama, tapi data yang di akun tsb juga gaikut kehapus ??"
Pengguna Google,5,2025-04-21 16:16:57,pelayanan nya bagus dan pengiriman nya sangat cepat terima kasih shopee ☺️🙂
Pengguna Google,5,2025-04-21 16:14:00,sangat membantu untuk mencari barang secara cepat dan praktis
Pengguna Google,5,2025-04-21 16:13:43,Bagus bagus bagus
Pengguna Google,5,2025-04-21 16:13:36,ok...
Pengguna Google,2,2025-04-21 16:11:24,Shoopefood makin aneh. Lemot bgt. Notifnya kadang telat. Mantau driver juga terlambat terus. Padahal jaringan bagus.
Pengguna Google,5,2025-04-21 16:10:10,sangat membantu
Pengguna Google,1,2025-04-21 16:08:12,"shopee udah tau belum ribet nya pembayaran sekarang, mau bayar aja loading lama, selesai pembayaran vermuk, seribet itukan aplikasi anda sekarang, siap2 di tinggal pergi"
Pengguna Google,5,2025-04-21 16:05:28,🌚
Pengguna Google,5,2025-04-21 16:04:27,aman
Pengguna Google,4,2025-04-21 16:04:12,mantp
Pengguna Google,2,2025-04-21 16:02:41,bagus
Pengguna Google,3,2025-04-21 16:02:24,"kurangi fitur kurang di minati, berat banget soalnya pas render kaya mau FC, mau lihat barang delaynya minta ampun, itu sih kluh kesah gwa"
Pengguna Google,5,2025-04-21 16:02:03,barang sesuai pengiriman cepat....
Pengguna Google,5,2025-04-21 16:01:37,sangat puas belanja di shopee
Pengguna Google,5,2025-04-21 16:01:18,"lagi senang belanja disini, utamanya karena ongkir , Terima kasih Shopee 🙏"
Pengguna Google,5,2025-04-21 15:58:01,sangat bagus
Pengguna Google,5,2025-04-21 15:56:58,mantul
Pengguna Google,5,2025-04-21 15:56:46,sangat baguss
Pengguna Google,5,2025-04-21 15:54:16,yeeeaaaaahh
Pengguna Google,1,2025-04-21 15:53:27,"Fitur baru malah gabisa kasih driver tip lebih dari 4000 shopee kacau updatenya, posisi lokasi pengantaran juga kadang meleset tidak sesuai alamat"
Pengguna Google,5,2025-04-21 15:50:07,"aplikasi ini berbahaya, karna bisa bikin kamu rajin belanja"
Pengguna Google,5,2025-04-21 15:49:31,"Mau belanja ya di Shopee aja produknya bagus,murah dan memuaskan"
Pengguna Google,5,2025-04-21 15:47:51,S.PAYLATER NYA AKTIFIN DONG
Pengguna Google,5,2025-04-21 15:46:22,Tempat belanja lebih Mudah & Amanah
Pengguna Google,5,2025-04-21 15:45:42,ok
Pengguna Google,5,2025-04-21 15:45:06,sangat membantu
Pengguna Google,4,2025-04-21 15:42:22,Shopee sangat bagus. Mempermudah kita dlm berbelanja
Pengguna Google,5,2025-04-21 15:41:20,Aplikasi ini bagus buat yang banyak kegiatan ...jadi belanjanya online aja heheheh dan jg aku udah lama gunain Shopee untuk kebutuhan belanja aku karena mudah dan pengiriman cepat barang bagus intinya GK ngecewain lah semoga kebelakang hari shopee tambah berkembang lagi lebih banyak hadiah jg 🤣🤣🤣🤣🤣 semoga bermanfaat makin sukses dan jaya selalu untuk shopee.....happy shopping 🤓 untuk shopee caiyoo......🤭
Pengguna Google,5,2025-04-21 15:39:59,aplikasi terbaik di dunia
Pengguna Google,5,2025-04-21 15:39:30,mantap
Pengguna Google,5,2025-04-21 15:39:23,asik tinggal bayar
Pengguna Google,5,2025-04-21 15:38:56,Pengirimannya jgn terlalu lama
Pengguna Google,1,2025-04-21 15:38:28,"gara² paket hilang dalam pengiriman jadi gak bisa cod,pada hal bukan karna tidak di ambil emang paket nya saja yg hilang"
Pengguna Google,5,2025-04-21 15:36:49,shopee ok
Pengguna Google,5,2025-04-21 15:32:57,mantab
Pengguna Google,5,2025-04-21 15:32:05,sangat memudahkan dan sangat membantu
Pengguna Google,5,2025-04-21 15:31:17,banyak kemajuan
Pengguna Google,5,2025-04-21 15:31:16,market place yang gampang melihat menu2 nya
Pengguna Google,5,2025-04-21 15:29:48,"Ok,,merasa puas sampai saat ini belanja di shopee.Cuman kadang KLO membatalkan pesanan nunggu 1 hari dulu."
Pengguna Google,5,2025-04-21 15:29:41,"Hai shopee,saya udh update apk terbaru,sudah hapus cache,sudah log out,masih aja,klu buka shopee langsung star vidio live nya itu bikin ribet aja"
Pengguna Google,5,2025-04-21 15:29:02,godjo
Pengguna Google,1,2025-04-21 15:27:53,Barangnya tidak sesuai Gambar atau contohnya 👎
Pengguna Google,5,2025-04-21 15:27:24,mudah dan fleksibel.
Pengguna Google,5,2025-04-21 15:25:54,"alhamdulillah,selalu sesuai dengan harapan"
Pengguna Google,5,2025-04-21 15:24:18,shopee semakin didepan
Pengguna Google,5,2025-04-21 15:21:56,sangat berguna
Pengguna Google,5,2025-04-21 15:21:08,sangat membantu saya karena saya adalah pedagang kecil dengan modal di bawah 200 000
Pengguna Google,5,2025-04-21 15:20:36,belanja online yg saya sukai
Pengguna Google,3,2025-04-21 15:19:34,maaf banget sejak adanya fitur live dan video yang langsung muncul ketika buka hp. justru malah buat aplikasi lemot untuk hp saya. Ya mungkin gak problem di hp yang lebih baru dan canggih dan menurut saya mending langsung aja ke beranda vitur livenya digunakan kalo di klik aja gak usah otomatis. maaf bikin ngelag
Pengguna Google,1,2025-04-21 15:19:29,"3 hal malapetaka instal shopee 1. ini awal mula kesel sama shopee, tiba tiba ada 3 pesanan (total hampir 600k) yang ga pernah aku pesan, padahal aku belum pernah buka shopee dan ga ada orang yg bisa buka hp ku selain aku. 2. mau hapus akun shopee hp ku malah ga bisa nyala tiba tiba bug parahh. 3. hp aing jadi pecah gara gara mau hapus shopee malah error jadinya emosi. bener bener satu satunya aplikasi yg bikin gue apes anjir."
Pengguna Google,5,2025-04-21 15:17:56,Senang belanja di shoopee
Pengguna Google,1,2025-04-21 15:16:00,"Saya senang shopee, tapi bintangnya tidak saya kasih full, nanti masukkan saya tidak disorot, satu kelemahan shopee dari semenjak saya kenal sampai hari ini, ownernya tidak berani keluarkan modal untuk investasi server yang canggih dan ringan"
Pengguna Google,5,2025-04-21 15:15:01,sangat puas
Pengguna Google,5,2025-04-21 15:14:50,"semoga makin sukses dan banyak fitur"" menarik dan makin jeli lagi terhadap penjual yg curang dan juga penipuan mengatasnamakan sopy"
Pengguna Google,5,2025-04-21 15:12:56,oke
Pengguna Google,1,2025-04-21 15:11:30,admin kantor shopee expres di kota sayapelayanan nya buruk asli gak nyangka masa sya mau nnyain kndala pada pket sya mlah di usir di siram dengan air apakah itu perbuatn. yg baik udah itu sya di katain di olok olok pokok nya buat yg lain jgn pernh blnja di shopee mendigan blnja di tiktok cpat nyampe nya lagi
Pengguna Google,5,2025-04-21 15:08:13,cod mantap
Pengguna Google,5,2025-04-21 15:06:10,mantap
Pengguna Google,5,2025-04-21 15:04:18,sering blanja disini
Pengguna Google,5,2025-04-21 15:03:12,bagus sekali
Pengguna Google,5,2025-04-21 15:02:57,"Shoppe adalah sebuah aplikasi belanja online terbaik,saat ini,cuma sangat disayangkan masih ada segelintir penjual yg tidak amanah,lain diiklankan lain pulau barang yg datang ."
Pengguna Google,5,2025-04-21 15:01:54,Memudahkan belanja segala keperluan
Pengguna Google,1,2025-04-21 15:00:19,"jujur pas update, jd tambah lemot. chat seller gak terkirim2 padahal sinyal lancar. klo e conmerce mah, ecommerce aja gk usah live atau vidio jadi tambah lemot. inovasi boleh tapi performa di perhatikan. liat aja 2 tahun yang akan datang pasti tambah sepi klo gk berbenah."
Pengguna Google,4,2025-04-21 14:58:26,semoga kedepan.a koin a mangkin cepet di dapet
Pengguna Google,5,2025-04-21 14:55:30,pokoknya shope is the best
Pengguna Google,1,2025-04-21 14:55:22,"aplikasi kayak yang tambah berat, juga nyebelin banget kalau tiap baru buka tiba tiba otomatis buka shopee live/video. bener bener ngebebanin di hp kalau video/live yang gak mau kita tonton malah langsung diputer"
Pengguna Google,5,2025-04-21 14:55:13,rekomend
Pengguna Google,2,2025-04-21 14:55:06,saat login via whatsapp atau nomor hp tetap harus verifikasi email fitur ini sangat tidak berguna. takutnya jika ada orang ganti device tapi email masih tertaut di email hp rusak/lama dan lupa sandi malah menjadi masalah besar yaitu tidak bisa login di akun tersebut karena lupa sandi google meskipun sim card sudah terpasang di hp baru dan loginnya via whatsapp
Pengguna Google,5,2025-04-21 14:54:28,sangat membantu aplikasi ini dengan diskonx sma potongan harga tpi ada yg sangat z tdak suka dengan kurirx orderan blum di antar ke rumah sdah di retur makax terkadang kta tdak bisa cod lgi..makasih
Pengguna Google,5,2025-04-21 14:52:34,kalau penjualan sepi lagi saya update bintang 1
Pengguna Google,3,2025-04-21 14:47:12,padahal sinyal bagus tapi kok susah untuk nyari barang di shopee
Pengguna Google,5,2025-04-21 14:46:17,shope di hati
Pengguna Google,1,2025-04-21 14:45:59,"refund kartu kredit sudah hampir 1 bulan belum di kembalian, kalau transaksi gak di cek gak bakal di kembalikan, marketplace maling ini, saya ubah ulasan kalau sudah ada refund, nominal bukan nominal kecil, dasar maling"
Pengguna Google,1,2025-04-21 14:45:25,Kenapa sekarang barang suka ketahan di DC Cakung ya? udah hampir seminggu gak bergerak di DC cakung. pesen lewat shopee biasanya cuma 3-4 hari sekarang udah hampir 10 hari gak sampe-sampe 🥲
Pengguna Google,5,2025-04-21 14:45:08,Sangat membantu
Pengguna Google,5,2025-04-21 14:44:37,ok
Pengguna Google,5,2025-04-21 14:43:18,sangat baik
Pengguna Google,4,2025-04-21 14:43:18,aplikasi lambat. tolong menjadi perhatian
Pengguna Google,1,2025-04-21 14:40:56,"Sangat kecewa karena fitur blokir sudah tidak tersedia, padahal fitur ini sangat membantu memilah penjual nakal maupun pembeli nakal. 5 tahun berjualan selalu menggunakan ekspedisi jnt, selama itu pula tidak pernah ada masalah yang merugikan penjual, jika ada kendala terkait pengiriman admin jnt sangat fast respon dan kendala terselesaikan dengan baik. Tapi sekarang jnt sudah hilang dari shopee. Terpaksa memakai ekspedisi lain, baru beberapa bulan sudah banyak masalah."
Pengguna Google,5,2025-04-21 14:39:43,bagus
Pengguna Google,5,2025-04-21 14:39:06,"baguss tapii minus di pengiriman kenapa udah gaada j&t lagi sih minn, boleh kasih alasan ?"
Pengguna Google,5,2025-04-21 14:37:37,belanja di shope sangat baik
Pengguna Google,5,2025-04-21 14:36:43,saya suka menggunakan shopee 💓💓
Pengguna Google,4,2025-04-21 14:36:25,sangat membantu untuk belanja online dan minusnya nggak ada tas yang aku pengen tas dari jepang
Pengguna Google,2,2025-04-21 14:36:19,"ada biaya tambahan yang entah dari mana, saat saya lihat harga total dengan harga yang saya tambahkan sendiri sesuai nilai yang tertera, harganya berbeda hingga Rp1000++. mungkin kalau ada yg sama atau ada yg lebih paham bisa infokan"
Pengguna Google,5,2025-04-21 14:36:16,"kak saya kasih satu saran, tolong kak untuk membuat kebijakan ""menanyakan tentang uang sudah di siapkan oleh pembeli yang memakai layanan cod"" agar tidak ada terjadinya dikembalikan dengan alasan uang tidak ada, sebab banyaknya warga tidak tau tentang cod taunya ini bisa bayar di tempat, dan bisa waktu pengiriman nya di gunakan untuk mencari uang, tapi dengan kenyataannya waktu pengiriman nya terkadang terlalu cepat sehingga tidak terjadinya bayar barang yang di pesan. Jadi sekian, Terimakasih"
Pengguna Google,3,2025-04-21 14:36:11,"dari dulu sampai sekarang belanja di shopee, cuma ada satu kendala semenjak j&t udah gak ada, pengiriman selalu bermasalah oleh spx, barang pesanan saya udah beberapa gak sampai"", tolong untuk pihak shopee untuk di pertegas para kurir spx, itu aja keluhan saya mohon maaf saya kasih bintang 3 dulu."
Pengguna Google,1,2025-04-21 14:35:16,"Aplikasi gk jelas, shope video tiba tiba hilang, sedangkan punya temen masih ada, kan lucu, gk jelas aplikasi gk jelas"
Pengguna Google,5,2025-04-21 14:33:37,oke
Pengguna Google,5,2025-04-21 14:33:08,amazing luar biasa
Pengguna Google,5,2025-04-21 14:32:50,sudah enak. tapi kenapaya kurirnya selalu ada ongkir tambahan.... tolong penjelasanya..
Pengguna Google,5,2025-04-21 14:31:55,ok
Pengguna Google,5,2025-04-21 14:30:16,baik
Pengguna Google,5,2025-04-21 14:29:32,tetap semangat shopee
Pengguna Google,5,2025-04-21 14:27:03,oke
Pengguna Google,5,2025-04-21 14:25:41,nyaman berbelanja
Pengguna Google,5,2025-04-21 14:24:50,selama ini saya belanja belum pernah mengalami kecewa ....semua barang yg saya beli kualitasnya sesuai dengan harga....
Pengguna Google,5,2025-04-21 14:24:47,bagus dan murah
Pengguna Google,5,2025-04-21 14:24:25,"aplikasi nya bagus, sangat membantu bagi orang2 yang mager untuk belanja offline. aplikasi sangat terpercaya. banyak gratis ongkir nya."
Pengguna Google,5,2025-04-21 14:24:02,"applikasi belanja online terbaik menurut sy, mudah operasikannya, murah harga barang nya, serba ada d bertanggung jawab"
Pengguna Google,5,2025-04-21 14:23:24,cocok buat ibu-ibu dan kaum hawa untuk berbelanja kebutuhan rumah tangga
Pengguna Google,5,2025-04-21 14:23:05,the best
Pengguna Google,5,2025-04-21 14:22:30,sangat memuaskan
Pengguna Google,5,2025-04-21 14:22:28,sangat memuaskan belanja dishopee barang datang bisa kita cek dulu...
Pengguna Google,5,2025-04-21 14:20:39,sangat bagus dan membantu memudahkan membeli keperluan rumah tangga
Pengguna Google,4,2025-04-21 14:20:35,tolong dong pas kurir otw ke rumah customer di aplikasi ada kontak dan kurirnya. biar gampang buat info misal di rumah gk ada orang.
Pengguna Google,5,2025-04-21 14:20:14,"sya suka belanja di shopee, karena ada gratis ongkir nya"
Pengguna Google,1,2025-04-21 14:20:03,kenapa pengembalian dana nya ga ad respon..padahal saya yang dirugikan karena toko tidak mengirim orderan saya
Pengguna Google,5,2025-04-21 14:19:49,beli di Shopee alhamdulillah sesuai . harganya lebih terjangkau
Pengguna Google,5,2025-04-21 14:19:34,sering dapet gratis ongkir.. sip
Pengguna Google,4,2025-04-21 14:17:28,baik
Pengguna Google,4,2025-04-21 14:17:19,baru coba2.. kalau lebih baik yaa lanjut kumpulin koinnya
Pengguna Google,5,2025-04-21 14:17:15,mantapppp
Pengguna Google,5,2025-04-21 14:16:53,amanah
Pengguna Google,5,2025-04-21 14:16:22,baik
Pengguna Google,5,2025-04-21 14:16:17,Alhamdulillah tokonya amanah
Pengguna Google,5,2025-04-21 14:16:11,"Mantap, beli hewan pun, cepat,dan sehat"
Pengguna Google,5,2025-04-21 14:15:59,"pengalaman sy ada buruk ada baik,ada sebagian toko lain dipesan lain dikirim,baik ukuran,warna dsb,disini sy sangat menyukai shopi,memudahkan sy blanja keluar,shopi bisa Gantar kerumah,trima kasih shopi"
Pengguna Google,1,2025-04-21 14:15:41,apk nya sangat membantu sekali dalam berbelanja online 👍👍
Pengguna Google,5,2025-04-21 14:14:17,bagus dan kwalitasnya juga baik
Pengguna Google,4,2025-04-21 14:13:55,mantap berfungsi dgn normal
Pengguna Google,5,2025-04-21 14:13:41,bintang yg membuktikan
Pengguna Google,5,2025-04-21 14:13:10,good.....
Pengguna Google,5,2025-04-21 14:13:02,bagus
Pengguna Google,5,2025-04-21 14:10:11,cukup memuaskan
Pengguna Google,5,2025-04-21 14:10:07,ok
Pengguna Google,5,2025-04-21 14:07:57,puas belanja di shopee
Pengguna Google,5,2025-04-21 14:07:27,mantap ...Terbantu sekali .. Makasih ya
Pengguna Google,3,2025-04-21 14:06:49,"barang di shopee agak mahal,,"
Pengguna Google,5,2025-04-21 14:05:55,mantab sangat sangat membantu dan tentunya murahhh
Pengguna Google,5,2025-04-21 14:05:53,belanja murah
Pengguna Google,5,2025-04-21 14:05:52,sangat membantu 👍👍
Pengguna Google,1,2025-04-21 14:05:47,"kenapa spx sekarang kualitas waktu pengiriman nya jelek sekali, paket saya selalu telat sampe nya, sampe bosen protes ke cs nya"
Pengguna Google,5,2025-04-21 14:04:49,sangat membantu
Pengguna Google,5,2025-04-21 14:04:23,Di shopee harga murah barang original
Pengguna Google,5,2025-04-21 14:04:05,Alhamdulillah berlangganan dgn shopee sangat memuaskan kami Pelanggan. cuman kadang kami sakit sesak hati dgn Kurir kurir pengantar barang yg kurang profesional dalam bekerja...
Pengguna Google,5,2025-04-21 14:03:33,Aplikasi nya bagus sesuai 0
Pengguna Google,5,2025-04-21 14:02:35,Shopee memang is the best
Pengguna Google,1,2025-04-21 14:01:19,"semenjak shopee mendepak JNT yang biasanya seler langsung ngirim hari itu juga, sekarang udah hampir 4 hari ga di serahin ke ekpedisi shopee,yg biasanya 3 atu 4 hari barang nympe sekrng jadi hampir 7 hari bahkan lebih.pdhl masih satu pulau.kacau parah"
Pengguna Google,5,2025-04-21 13:58:55,sangat terbantu
Pengguna Google,5,2025-04-21 13:56:29,mantap
Pengguna Google,5,2025-04-21 13:56:16,sangat membantu
Pengguna Google,5,2025-04-21 13:56:15,"aplikasi ny bgus bgtt, sukakk"
Pengguna Google,5,2025-04-21 13:55:46,sangat puas
Pengguna Google,5,2025-04-21 13:54:20,ok
Pengguna Google,5,2025-04-21 13:53:26,cepat respon
Pengguna Google,5,2025-04-21 13:52:35,ok amanah
Pengguna Google,5,2025-04-21 13:52:08,baguss
Pengguna Google,2,2025-04-21 13:49:07,"biaya penanganan sekarang mahal, meskipun 7rb 10rb tp gamasuk akal. bgt... dlu cuma seribu duaribu"
Pengguna Google,5,2025-04-21 13:48:50,ok
Pengguna Google,5,2025-04-21 13:48:23,sangat baik👌👍
Pengguna Google,5,2025-04-21 13:47:58,suka banget dengn shopee
Pengguna Google,5,2025-04-21 13:47:03,dengan adanya shopee belanja online jadi gampang
Pengguna Google,1,2025-04-21 13:46:15,"shopee sekarang sering error,padahal update setiap saat mohon kebijakannya"
Pengguna Google,5,2025-04-21 13:44:28,"Love it, the price is affordable."
Pengguna Google,5,2025-04-21 13:43:50,sangatlah memuaskan
Pengguna Google,5,2025-04-21 13:43:27,Shoopie solusi belanja online yg tepat dan rekomended
Pengguna Google,2,2025-04-21 13:42:38,"udah bertahun-tahun pake shopee baru kali ini kena penipuan pinjol yang mengatasnamakan shopee dgn mengancam saya bilangnya saya kena pelanggaran lah,bla bla bla hampir 1 jt mungkin bagi sebagian org jumlah itu gk seberapa tapi saya org gk punya jumlah segitu termasuk banyak untuk saya dan shopee gk bisa bantu apa"" cukup kecewa sebenernya entah kapan saya bisa percaya lagi ke shopee"
Pengguna Google,5,2025-04-21 13:41:00,"oke,semoga cepet ada menu payleternya"
Pengguna Google,5,2025-04-21 13:40:28,SANGAT OKKEEE...!! 🤟🤟
Pengguna Google,5,2025-04-21 13:39:54,sangat praktis
Pengguna Google,5,2025-04-21 13:39:35,knpa Shopee saya gk bisa padahal 2 bln yg lalu bisa sy blm ada order karna lagi ada urusan cobalah aktifkan COD saya
Pengguna Google,5,2025-04-21 13:38:19,apk Yg Bagus Dan Memberikan Pengalaman Berbelanja Yg Seru
Pengguna Google,5,2025-04-21 13:36:33,wow sangat membantu sekali
Pengguna Google,5,2025-04-21 13:34:22,mantap
Pengguna Google,5,2025-04-21 13:34:03,pengiriman cepat dan amanah
Pengguna Google,5,2025-04-21 13:33:35,tidak pernah kecewa..
Pengguna Google,5,2025-04-21 13:33:08,bagus sekali
Pengguna Google,4,2025-04-21 13:32:51,sangat membabtu
Pengguna Google,5,2025-04-21 13:31:30,cepat banyak diskon
Pengguna Google,5,2025-04-21 13:31:19,harganya murah murah semua dan pengirimannya juga cepat
Pengguna Google,4,2025-04-21 13:30:25,"saya sih pernah ketipu diaplikasi ini saya pernah beli hp smsung tau ya Rakita bilang ya barang baru pas kita tanyak, tapi buka kekontor semua ya diganti hampir meledak batri coaly mengembang baru kita pakai 5 bulan,padalklu jujur lagi saya mau beli lagi,langsung troma hehehehe"
Pengguna Google,5,2025-04-21 13:30:21,bagus
Pengguna Google,5,2025-04-21 13:30:00,Ok
Pengguna Google,4,2025-04-21 13:29:52,Berikan pilihan ekspedisi lebih murah dan cepat tiba pengirimannya dari SPX
Pengguna Google,1,2025-04-21 13:28:28,"SUMPAH, DRIVER SHOOPEE FOOD NYA PADA BUTA MAPS. PDHAL UDAH DI ARAHIN DETAIL BANGET."
Pengguna Google,5,2025-04-21 13:27:43,"Shopee aplikasi ynk bagus untuk beli""peralatan rumah tangga.dan harga nya terjangkau jdi nga takut mau beli apa aja👍"
Pengguna Google,5,2025-04-21 13:27:13,good
Pengguna Google,5,2025-04-21 13:26:58,lebih mudah untuk belanja.
Pengguna Google,4,2025-04-21 13:25:30,Jangan ragu menggunakan shopee pay
Pengguna Google,1,2025-04-21 13:24:56,"tolong saya mau masuk akun saya sediri di tolak2 terus,,,"
Pengguna Google,5,2025-04-21 13:24:45,layanan di shopee selama ini bagus
Pengguna Google,5,2025-04-21 13:24:09,Ok
Pengguna Google,5,2025-04-21 13:23:35,alhamdulillah barangnya bagus n sesuai
Pengguna Google,5,2025-04-21 13:21:32,shopee aplikasi yang bagus.dan saya sangat berharap vocernya makin diperbanyak lagi 😁😁😁😁
Pengguna Google,5,2025-04-21 13:21:29,"Alhamdulillah Serta Baik, Terimakasih 😎😇."
Pengguna Google,4,2025-04-21 13:18:32,sinyalnya harus kuat
Pengguna Google,5,2025-04-21 13:18:02,Sangat membantu sekali pesan barang.. barang datang sesuai pesanan makasih shopee..jaya selalu
Pengguna Google,5,2025-04-21 13:12:55,selama ini lumayan memuaskan
Pengguna Google,5,2025-04-21 13:12:35,"belanja jadi lebih mudah, dan gampang hanya sambil duduk, ga perlu repot2 keluar rumah"
Pengguna Google,5,2025-04-21 13:11:45,aplikasinya sangat berguna banget bangyak barang barang yg unik
